alpha   -1->1                   -2->2                   -3->3                   -4->4                   -6->6                   -10->10                 15->15                  -20->20                 -25->25                 -30->30
0.0     -1.8332516091474127E-01 -1.4625681034580565E-01 -1.0230232202800806E-01 -8.4084360431865957E-02 -6.0676256703708187E-02 -5.4298583311047553E-02 -6.8184644509029793E-02 -8.3173161999220507E-02 -8.5819274969839945E-02 -7.9746507167871072E-02
0.1     -1.6632507643494071E-01 -1.3457163826478358E-01 -9.4360060055433917E-02 -7.6518320949404084E-02 -5.5430122386865004E-02 -5.1443595246466731E-02 -6.6562792010052246E-02 -8.1418196176641880E-02 -8.4970826956959247E-02 -7.8886501112875235E-02
0.2     -1.2585385452434492E-01 -1.0625365018146035E-01 -7.5381733122184907E-02 -5.9087596190993623E-02 -4.3535141946622072E-02 -4.4907325692002405E-02 -6.2773645571288963E-02 -7.7611106247014089E-02 -8.1082879676583341E-02 -7.7018285857336624E-02
0.3     -8.3098975563869762E-02 -7.4794583596305406E-02 -5.5843257965767085E-02 -4.2554014106288215E-02 -3.2536799558738665E-02 -3.8666653001971522E-02 -5.8930551204694245E-02 -7.4472387845578539E-02 -7.9543028047011438E-02 -7.5476305471735103E-02
0.4     -4.9292336472310204E-02 -4.7887267123408725E-02 -4.1886831652912959E-02 -3.2333983484487239E-02 -2.6002679786306656E-02 -3.4659705950166562E-02 -5.6157240151595608E-02 -7.3074987252174192E-02 -7.7987347995183642E-02 -7.4460003308868178E-02
0.5     -4.1897711475939146E-02 -2.8278458619660409E-02 -3.2073669226127401E-02 -2.5322056122693989E-02 -2.1921302088166641E-02 -3.1904343596381106E-02 -5.4053343819183614E-02 -7.2271897363175949E-02 -7.6265597828582277E-02 -7.3204968514017227E-02
0.6     -7.4156198016038524E-02 -1.9204769150718771E-02 -2.4956599219543796E-02 -1.8020490285043034E-02 -1.8021277324601539E-02 -2.9231207760565495E-02 -5.2037708076017070E-02 -7.0753364652476683E-02 -7.5171968514243168E-02 -7.1519637405219952E-02
0.7     -1.0849854799912476E-01 -1.8995176984656144E-02 -2.2079127486913406E-02 -1.3390071128717736E-02 -1.5550117621533561E-02 -2.7326410536808073E-02 -5.0540252920081685E-02 -6.9099162843073186E-02 -7.5547439290548968E-02 -7.0303742568731162E-02
0.8     -1.3884489771709424E-01 -2.7592900036030203E-02 -2.3173083552440302E-02 -1.4503214593788788E-02 -1.6432349105784529E-02 -2.7433302707666068E-02 -5.0375186316812537E-02 -6.8845991472901186E-02 -7.5547439290548968E-02 -7.0487788501919141E-02
0.9     -1.6393578449252294E-01 -4.6655392489993001E-02 -2.6568876031556780E-02 -2.0007269839786502E-02 -1.9827416316603487E-02 -2.9097707856379058E-02 -5.1267960756325254E-02 -7.0002693408837829E-02 -7.6900625591016167E-02 -7.1619398639283890E-02
1.0     -1.7443949900272315E-01 -5.8726348584036234E-02 -2.8624475387461927E-02 -2.3510679546369734E-02 -2.1833778003108730E-02 -3.0105970328755668E-02 -5.1836848605959149E-02 -7.0773719131473761E-02 -7.7644894057256539E-02 -7.2254608083415189E-02
av      -0.11906073114669541    -0.06447427230698713    -0.047931821429850044   -0.03721200515267627    -0.03016065825836719    -0.03627952781711002    -0.05661092490373092    -0.07377242439932435    -0.07877102929252487    -0.07408888605738845
sigma    0.04873393306923625     0.043555375313215336    0.028371257571640992    0.024025490005329796    0.015269869218514687    0.009314323270745557    0.006260179811917418    0.004702243781024556    0.003560517451431191    0.0031595502869275166
div     -0.4093199546136744     -0.6755465979643978     -0.5919086052918593     -0.6456381457208816     -0.5062843485612092     -0.2567377204494037     -0.11058253901633117    -0.0637398569900818     -0.04520084964497313    -0.04264540142336819
